dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds006107	failed_resec_SOZ	string	Failed resection of the entire SOZ	2	0		Failed or Not_failed	True											Seb				
ds006107	followup	Int64	Follow-up Period	95	0		Derivation or Validation	False	12	130									Seb				
ds006107	mri	string	MRI-visible lesion	2	0		Presence or Absence	True											Seb				
ds006107	outcome	Int64	ILAE Class outcome	5	0		1-6	True	1	5		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not an assessment	Seb				
ds006107	participant_id	string		166	0			False			nb:ParticipantID								Seb				
ds006107	resected_side	string	Resected hemisphere	2	0		Right or Left	True											Seb				
ds006107	seizure_capture	string	Habitual seizures captured during iEEG recording	2	0		Yes or No	True											Seb				
ds006107	sex	string	sex of the participant as reported by the participant	2	0		Male or Female	True			nb:Sex								Seb				
ds006148	participant_id	string	The unique participant identifier of the form sub-<label>, matching a participant entity found in the dataset	266	0			False			nb:ParticipantID								Seb				
ds006148	session_id	string	The session identifier of the form ses-<label>, matching a session found in the dataset	3	0			True			nb:SessionID								Seb				
ds006218	age ses 1	Int64		3	95			True	67	69	nb:Age								Seb				
ds006218	age ses 2	Int64		5	101			True	41	45	nb:Age								Seb				
ds006218	age ses 3	Int64		2	93			True	13	14	nb:Age								Seb				
ds006218	age ses 4	Int64		4	91			True	25	28	nb:Age								Seb				
ds006218	gender	string	Sex of the participant	3	0	M, F		True			nb:Sex								Seb				
ds006218	genotype	string	Phenotype of the animal	2	0			True											Seb				
ds006218	name ses1	string		1	0			True											Seb				
ds006218	name ses2	string		1	0			True											Seb				
ds006218	name ses3	string		1	0			True											Seb				
ds006218	name ses4	string		1	0			True											Seb				
ds006218	participant_id	string	label identifying a particular subject	138	0			False			nb:ParticipantID								Seb				
ds006218	species	string	Species of the subject	1	0			True											Seb				
ds006218	strain	string	Strain of the subject	1	0			True											Seb				
ds006218	subject number	string		138	0			False											Seb				
ds006218	weight ses1	Float64		40	95			False	24.1	52.8									Seb				
ds006218	weight ses2	Float64		32	101			False	27.7	40.8									Seb				
ds006218	weight ses3	Float64		34	93			False	19.5	29.6									Seb				
ds006218	weight ses4	Float64		41	91			False	20.9	33.9									Seb				
ds006303	age	Int64	Participant's age in years.	11	0		Years	False	8	18	nb:Age								Seb			nb:FromFloat	
ds006303	participant_id	string	OpenNeuro ID of the subject.	149	0			False			nb:ParticipantID								Seb				
ds006303	sex	Int64	Biological sex assigned at birth.	2	0	M, F		True	-1	1	nb:Sex								Seb				
ds006391	Age	Int64	Age of the participant	30	0		year	False	18	60	nb:Age								Seb			nb:FromFloat	
ds006391	Edu_Level	string	Participant's highest level of education	7	0	College (Bachelors), High School / GED, Graduate school (Masters), Graduate school (Doctorate), Middle School, College (Associates), Elementary School		True											Seb				
ds006391	Gender	string	Gender of the participant as reported by the participant	3	0	Male, Female, Non-binary		True			nb:Sex								Seb				
ds006391	Handedness	string	Handedness of the participant as reported by the participant	1	0	Right-hand		True											Seb				
ds006391	participant_id	string	Participant's unique ID. Synonymous with field 'Subject_ID' in other files.	126	0			False			nb:ParticipantID								Seb				
ds006577	ari_child_cbt03	Int64	Presence of Affective Reactivity Index, child version (ARI CHILD) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	ari_child_cbt08	Int64	Presence of Affective Reactivity Index, child version (ARI CHILD) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	ari_child_cbt12	Int64	Presence of Affective Reactivity Index, child version (ARI CHILD) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	cgas_cbt03	Int64	Presence of Children’s Global Assessment Scale (CGAS) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	cgas_cbt08	Int64	Presence of Children’s Global Assessment Scale (CGAS) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	cgas_cbt12	Int64	Presence of Children’s Global Assessment Scale (CGAS) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	should be the ARI, but we don't have that	Seb				
ds006577	cgi_cbt12	Int64	Presence of Clinical Global Impressions Scale (CGI) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450756001	Clinical Global Impression	Voice handicap index	high			Seb				
ds006577	condition	string	The randomization group subject was assigned to.	2	72	active, sham		True											Seb				
ds006577	group	string		2	0	HV, Anx		True			nb:Diagnosis								Seb				
ds006577	ksads_screening	Int64	Presence of Kiddie Schedule for Affective Disorders and Schizophrenia (KSADS) asessment in Tabular phenotypic data collection screening session for subject diagnosis.	2	0	1, 0		True	0	1		nb:Assessment	273409000	Diagnostic interview for children and adolescents	Derogatis sexual functioning inventory	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	mfqc_cbt03	Int64	Presence of Mood and Feelings Questionnaire – Child version (MFQC) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	mfqc_cbt08	Int64	Presence of Mood and Feelings Questionnaire – Child version (MFQC) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	mfqc_cbt12	Int64	Presence of Mood and Feelings Questionnaire – Child version (MFQC) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	mri_post	Int64	Presence of Magnetic Resonance Imaging (MRI) session after Cognitive Behavioral Therapy (CBT) treatment for Anxiety group. Second MRI session for Healthy Volunteer subjects.	2	0	1, 0		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is not an assessment	Seb				
ds006577	mri_pre	Int64	Presence of Magnetic Resonance Imaging (MRI) session prior to Cognitive Behavioral Therapy (CBT) treatment. Baseline session for Healthy Volunteer subjects.	2	0	1, 0		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is not an assessment	Seb				
ds006577	pars_cbt03	Int64	Presence of Pediatric Anxiety Rating Scale (PARS) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	pars_cbt08	Int64	Presence of Pediatric Anxiety Rating Scale (PARS) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	pars_cbt12	Int64	Presence of Pediatric Anxiety Rating Scale (PARS) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	participant_id	string	BIDS participant identifier.	185	0			False			nb:ParticipantID								Seb				
ds006577	race	string		6	0	BLACK OR AFRICAN AMERICAN, UNKNOWN, ASIAN, WHITE, MULTIPLE RACES, AMERICAN INDIAN OR ALASKAN NATIVE, Native American or Other Pacific Islander		True											Seb				
ds006577	scared_child_cbt03	Int64	Presence of Screen for Child Anxiety Related Disorders – Child version (SCARED CHILD) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	scared_child_cbt08	Int64	Presence of Screen for Child Anxiety Related Disorders – Child version (SCARED CHILD) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	scared_child_cbt12	Int64	Presence of Screen for Child Anxiety Related Disorders – Child version (SCARED CHILD) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	scared_parent_cbt03	Int64	Presence of Screen for Child Anxiety Related Disorders – Parent version (SCARED PARENT) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	scared_parent_cbt08	Int64	Presence of Screen for Child Anxiety Related Disorders – Parent version (SCARED PARENT) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	scared_parent_cbt12	Int64	Presence of Screen for Child Anxiety Related Disorders – Parent version (SCARED PARENT) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect	is an assessment, but we don't have it	Seb				
ds006577	sex	string	Biological sex assigned at birth.	2	0	MALE, FEMALE		True			nb:Sex								Seb				
ds006577	staic_cbt03	Int64	Presence of State-Trait Anxiety Inventory – Child version (STAIC) asessment in Tabular phenotypic data collection session after 3 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect		Seb	273830002			
ds006577	staic_cbt08	Int64	Presence of State-Trait Anxiety Inventory – Child version (STAIC) asessment in Tabular phenotypic data collection session after 8 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect		Seb	273830002			
ds006577	staic_cbt12	Int64	Presence of State-Trait Anxiety Inventory – Child version (STAIC) asessment in Tabular phenotypic data collection session after 12 weeks of Cognitive Behavioral Therapy (CBT).	2	0	0, 1		True	0	1		nb:Assessment	450740006	Children's global assessment scale	Children's global assessment scale	high	incorrect		Seb	273830002			
ds006777	ados_css	Float64	ADOS Calibrated Severity Score (CSS)	9	73		severity scale	True	3.0	15.0		nb:Assessment	2741000123102	Autism Diagnostic Observation Schedule Calibrated Severity Score	not found	high	incorrect	got the term right in the label but we don't have it	Seb				
ds006777	age	Float64	Age at recording	43	0		years	False	7.9	14.5	nb:Age								Seb			nb:FromFloat	
ds006777	cpt_response_style	string	CPT Response Style	44	4			False											Seb				
ds006777	fsiq	Float64	Full Scale IQ	51	4		standard score	False	65.0	142.0		nb:Assessment	621131000124106	Wechsler Adult Intelligence Scale fourth edition	Wechsler Adult Intelligence Scale fourth edition	medium	correct		Seb				
ds006777	group	string	Diagnostic/experimental group	3	0	ASD, ASD SIBLING, TD		True			nb:Diagnosis								Seb				
ds006777	handedness	string	Handedness	3	1	R, L, A		True											Seb				
ds006777	mabc_total_ss	Float64	MABC Total Standard Score	13	6		standard score	False	1.0	15.0		nb:Assessment	725886007	Movement Assessment Battery for Children Checklist Second Edition	Movement Assessment Battery for Children Second Edition	medium	correct		Seb				
ds006777	medication	string	Current medications at time of recording	15	2			False											Seb				
ds006777	participant_id	string		121	0			False			nb:ParticipantID								Seb				
ds006777	sex	string	Biological sex	2	0	M, F		True			nb:Sex								Seb				
ds006777	srs2_total_t	Float64	SRS-2 Total T score	49	5		T-score	False	38.0	100.0		nb:Assessment	1802241000000106	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	RCADS-25 - Revised Children's Anxiety and Depression Scale-25	medium	incorrect		Seb				
ds006780	ados_css	Float64	Imported from source participants files (ados_css).	9	89			True	3.0	15.0		nb:Assessment	1086841000000106	ADI-R - Autism Diagnostic Interview-Revised	ADI-R - Autism Diagnostic Interview-Revised	high	incorrect	close, a different autism instrument. no term available for ADOS	Seb				
ds006780	ados_css_dup	Float64	Imported from source participants files (ados_css_dup).	9	88			True	3.0	15.0		nb:Assessment	1086841000000106	ADI-R - Autism Diagnostic Interview-Revised	ADI-R - Autism Diagnostic Interview-Revised	high	incorrect	close, a different autism instrument. no term available for ADOS	Seb				
ds006780	age	Float64	Age in years at time of recording (if available).	46	1		years	False	7.9	14.5	nb:Age								Seb			nb:FromFloat	
ds006780	completed_ASSR	string	Whether data for the ASSR paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_AVSRT	string	Whether data for the AVSRT paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_Beep-Flash	string	Whether data for the Beep-Flash paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_FAST	string	Whether data for the FAST paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_Illusory_contours	string	Whether data for the Illusory_contours paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_Motor	string	Whether data for the Motor paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	completed_Resting_state	string	Whether data for the Resting_state paradigm exist for this participant in this dataset.	2	0	yes, no		True											Seb				
ds006780	cpt_response_style	string	Imported from source participants files (cpt_response_style).	44	18			False											Seb				
ds006780	cpt_response_style_dup	string	Imported from source participants files (cpt_response_style_dup).	44	19			False											Seb				
ds006780	fsiq	Float64	Imported from source participants files (fsiq).	52	17			False	65.0	142.0		nb:Assessment	621131000124106	Wechsler Adult Intelligence Scale fourth edition	Wechsler Adult Intelligence Scale fourth edition	high	correct	impressive	Seb				
ds006780	fsiq_dup	Float64	Imported from source participants files (fsiq_dup).	51	19			False	65.0	142.0		nb:Assessment	621131000124106	Wechsler Adult Intelligence Scale fourth edition	Wechsler Adult Intelligence Scale fourth edition	high	correct		Seb				
ds006780	group	string	Diagnostic group or cohort label.	4	0	TD, ASD, SIB, n/a		True			nb:Diagnosis								Seb				
ds006780	handedness	string	Self-reported handedness.	3	2	R, L, A, n/a		True											Seb				
ds006780	mabc_total_ss	Float64	Imported from source participants files (mabc_total_ss).	13	21			False	1.0	15.0		nb:Assessment	621121000124108	Movement Assessment Battery for Children	Childhood trauma questionnaire short form	high	incorrect	got the label right but took the wrong ID	Seb	725886007			
ds006780	mabc_total_ss_dup	Float64	Imported from source participants files (mabc_total_ss_dup).	13	21			False	1.0	15.0		nb:Assessment	621121000124108	Movement Assessment Battery for Children	Childhood trauma questionnaire short form	high	incorrect	got the label right but took the wrong ID	Seb	725886007			
ds006780	medication	string	Imported from source participants files (medication).	17	14			False											Seb				
ds006780	medication_dup	string	Imported from source participants files (medication_dup).	15	17			False											Seb				
ds006780	participant_id	string	Unique participant label (BIDS).	136	0			False			nb:ParticipantID								Seb				
ds006780	sex	string	Biological sex as reported.	2	1	m, f, n/a		True			nb:Sex								Seb				
ds006780	srs2_total_t	Float64	Imported from source participants files (srs2_total_t).	51	18			False	38.0	100.0		nb:Assessment	230346000	Social Responsiveness Scale	not found	high	incorrect	probably got the label right, but we don't have this term	Seb				
ds006780	srs2_total_t_dup	Float64	Imported from source participants files (srs2_total_t_dup).	49	20			False	38.0	100.0		nb:Assessment	230346000	Social Responsiveness Scale	not found	high	incorrect	probably got the label right, but we don't have this term	Seb				
ds006861	Age	Int64	Participant age in years.	18	0			False	18	35	nb:Age								Seb			nb:FromFloat	
ds006861	CESD	Int64	Center for Epidemiologic Studies Depression Scale score, measuring depressive symptoms.	44	0			False	0	54		nb:Assessment	1231439001	Calgary Depression Scale for Schizophrenia	Calgary Depression Scale for Schizophrenia	medium	incorrect	picked wrong. we don't have a term, and neither has SNOMED	Seb				
ds006861	ERQ_CR	Int64	Emotion Regulation Questionnaire - Cognitive Reappraisal subscale score.	35	0			False	6	42		nb:Assessment	other assessment	n/a	not found	low	correct	we don't have this term	Seb				
ds006861	ERQ_ES	Int64	Emotion Regulation Questionnaire - Expressive Suppression subscale score.	23	0			False	4	26		nb:Assessment	other assessment	n/a	not found	low	correct	we don't have this term	Seb				
ds006861	Gender	string	Participant gender. Values: Female or Male.	2	0			True			nb:Sex								Seb				
ds006861	Group	string	Loneliness group assignment based on UCLA-R screening score. Values: Low Lonely or High Lonely.	2	0			True			nb:Diagnosis								Seb				
ds006861	participant_id	string	Unique participant label	120	0			False			nb:ParticipantID								Seb				
ds006861	SIAS	Int64	Social Interaction Anxiety Scale score, measuring social interaction anxiety.	22	0			False	0	24		nb:Assessment	other assessment	n/a	not found	low	correct	we don't have it	Seb				
ds006861	SNS	Int64	Social Network Scale - measure of objective social isolation.	24	0			False	4	30		nb:Assessment	other assessment	n/a	not found	low	correct	we don't have it	Seb				
ds006861	stimulation_side	string	Side of tDCS stimulation (Left or Right hemisphere).	2	0			True											Seb				
ds006861	UCLA_R	Int64	UCLA Loneliness Scale (Revised) score, measuring perceived loneliness, administered during the experimental session.	42	0			False	20	71		nb:Assessment	1103791000000107	Revised UCLA (University of California Los Angeles) Loneliness scale	not found	high	incorrect	flipped last number of the ID	Seb	1103791000000109			
ds006861	UCLA_R_screening	Int64	UCLA Loneliness Scale (Revised) score obtained during screening, used to determine participant eligibility for the study.	35	0			False	22	70		nb:Assessment	1129571000000106	UCLA (University of California Los Angeles) Loneliness Scale (Version 3)	UCLA (University of California Los Angeles) Loneliness Scale (Version 3)	medium	correct		Seb	1103791000000109			
ds006866	Age	Int64	Participant age in years.	18	0			False	18	35	nb:Age								Seb			nb:FromFloat	
ds006866	CERQ_A	Int64	Cognitive Emotion Regulation Questionnaire - Acceptance subscale score.	14	0			False	4	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Acceptance subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_K	Int64	Cognitive Emotion Regulation Questionnaire - Catastrophizing subscale score.	14	0			False	4	17		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Catastrophizing subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_KP	Int64	Cognitive Emotion Regulation Questionnaire - Refocus on planning subscale score.	14	0			False	6	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Refocus on planning subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_OI	Int64	Cognitive Emotion Regulation Questionnaire - Other-blame subscale score.	13	0			False	4	16		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Other-blame subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_OS	Int64	Cognitive Emotion Regulation Questionnaire - Self-blame subscale score.	17	0			False	4	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Self-blame subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_PP	Int64	Cognitive Emotion Regulation Questionnaire - Positive reappraisal subscale score.	16	0			False	5	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Positive reappraisal subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_PU	Int64	Cognitive Emotion Regulation Questionnaire - Positive refocusing subscale score.	15	0			False	4	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Positive refocusing subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_R	Int64	Cognitive Emotion Regulation Questionnaire - Rumination subscale score.	17	0			False	4	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Rumination subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CERQ_SP	Int64	Cognitive Emotion Regulation Questionnaire - Putting into perspective subscale score.	17	0			False	4	20		nb:Assessment	273370003	Cognitive Emotion Regulation Questionnaire - Putting into perspective subscale score	Clinical evaluation of language function revised - screening test	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	CESD	Int64	Center for Epidemiologic Studies Depression Scale score, measuring depressive symptoms.	44	0			False	0	53		nb:Assessment	273870003	Center for Epidemiologic Studies Depression Scale score, measuring depressive symptoms	not found	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	ERQ_CR	Int64	Emotion Regulation Questionnaire Cognitive Reappraisal score, assessing cognitive reappraisal tendencies.	36	0			False	6	42		nb:Assessment	273870003	Emotion Regulation Questionnaire Cognitive Reappraisal score, assessing cognitive reappraisal tendencies	not found	high	incorrect	LLM got the tool label right, but we don't have this assessment in our vocab	Seb				
ds006866	Gender	Int64	Participant gender. Velues: 1-Female, 2-Male	2	0			True	1	2	nb:Sex								Seb				
ds006866	LSAS	Int64	Liebowitz Social Anxiety Scale score, assessing social anxiety.	74	0			False	0	111		nb:Assessment	1231512007	Liebowitz Social Anxiety Scale score, assessing social anxiety	Liebowitz Social Anxiety Scale	high	correct		Seb				
ds006866	participant_id	string	Unique participant label	148	0			False			nb:ParticipantID								Seb				
ds006866	Set_Shifting_Cost	Float64	Cost of set shifting, measuring cognitive flexibility.	148	0			False	-94.6164060283687	360.96305991342									Seb				
ds006866	SNS	Int64	Social Network Scale - Measure of objective social isolation	21	0			False	5	27		nb:Assessment	273870003	Social Network Scale - Measure of objective social isolation	not found	high	incorrect	term doesn't exist. The LLM label is maybe halluzinated. Closest known thing I find is https://www.bc.edu/bc-web/schools/ssw/sites/lubben/description.html 	Seb				
ds006866	UCLA_R	Int64	UCLA Loneliness Scale (Revised) score, measuring perceived loneliness.	45	0			False	22	67		nb:Assessment	1103791000000109	UCLA Loneliness Scale (Revised) score, measuring perceived loneliness	Revised UCLA (University of California Los Angeles) Loneliness scale	high	correct		Seb				
ds006883	age	Float64	Corrected gestational age in months	64	0			False	1.533	10.367	nb:Age								Seb			nb:FromFloat	TRUE
ds006883	group	string	All full term infants, no NICU infant data shared. Whether the 2 mo or 9 mo scan point.	2	0			True			nb:Diagnosis								Seb				
ds006883	participant_id	string	Participant identifier(with first digit referencing 2 or 9 mos)	126	0			False			nb:ParticipantID								Seb				
ds006883	sex	string	Declared by caregiver, M for male/F for female	2	0			True			nb:Sex								Seb				
ds006910	age	Int64	Age of the participant at time of testing	25	0		years	False	5	49	nb:Age								Seb			nb:FromFloat	
ds006910	handedness	string	Handedness of the participant	3	0	R, L, A		True											Seb				
ds006910	participant_id	string		121	0			False			nb:ParticipantID								Seb				
ds006910	sex	string	Biological sex of the participant	2	0	M, F, O		True			nb:Sex								Seb				
ds006923	Age	Int64	Participant age (years)	6	0		Years	True	14	19	nb:Age								Seb			nb:FromFloat	
ds006923	Age of first use	Int64	Age at which the participant first consumed any psychoactive substance or alcohol	10	71		Years	False	6	16									Seb				
ds006923	Alcohol	string	Specify if the participant consumes alcoholic beverages	2	0	No, Yes		True											Seb				
ds006923	Cocaine	string	Specify if the participant uses cocaine	2	0	No, Yes		True											Seb				
ds006923	Consumer of psychoactive substances	string	Indicate whether the participant uses drugs or psychoactive substances	2	0	No, Yes		True											Seb				
ds006923	Displaced by violence	string	Indicate whether the participant or their family were forced to move due to internal armed conflict, violence or threats	2	0	No, Yes		True											Seb				
ds006923	Domestic violence	string	Record whether the participant has experienced or committed violence in the family environment	2	0	No, Yes		True											Seb				
ds006923	Gang member	string	Indicate whether the participant has belonged or belongs to a gang or organized criminal group	2	0	No, Yes		True											Seb				
ds006923	Gender	string	Sex of the participant	1	0	Male, Female		True			nb:Sex								Seb				
ds006923	Level of education	string	Educational level achieved by the participant	6	0	Basic primary, Basic secondary, High school, Middle school, Technical, University		True											Seb				
ds006923	Marijuana	string	Specify if the participant consumes marijuana	2	0	No, Yes		True											Seb				
ds006923	participant_id	string	Unique participant identifier	140	0			False			nb:ParticipantID								Seb				
ds006923	Recidivist	string	Indicates whether the participant has reoffended after serving a previous sentence or sanction	2	66	No, Yes		True											Seb				
ds006923	School dropout	string	Indicate whether the participant dropped out of school before completing the corresponding educational level	2	0	No, Yes		True											Seb				
ds006923	Socioeconomic stratum	Int64	Socioeconomic classification of the participant's household (example, in Colombia residential properties are classified on a scale of 1 to 6)	3	0		Units	True	1	3									Seb				
ds006923	Subject type	string	Type of participant	2	0	Offender, No Offender		True											Seb				
ds006923	Type of crime 1	string	Category 1 of crimes committed by the participant	9	66	Abduction, Homicide, Illegal, Illegal_Carrying_of_Weapons/Narcotics, Illegal_Possession_of_Weapons/Narcotics, Kidnapping, None, Sexual_Abuse, Theft, Violence		True											Seb				
ds006923	Type of crime 2	string	Category 2 of crimes committed by the participant	8	122	Carrying_of_Weapons/Narcotics_Violence, Homicide, Illegal_Carrying_of_Weapons/Narcotics, Illegal_Possession_of_Weapons/Narcotics, Larceny, None, Sexual_Abuse, Theft, Violence		True											Seb				
ds006923	Type of crime 3	string	Category 3 of crimes committed by the participant	2	136	Illegal_Possession_of_Weapons/Narcotics, None, Theft		True											Seb				
ds006923	Type of crime 4	string	Category 4 of crimes committed by the participant	2	138	None, Sexual_Abuse, Theft		True											Seb				
ds006923	Years of education	Int64	Total number of years completed in the formal education system	11	0		Years	False	2	12									Seb				
ds007045	age	Int64	Age of participant	50	0		years	False	29	86	nb:Age								Seb			nb:FromFloat	
ds007045	field_strength	string	MRI system magnetic field strength (Tesla)	3	0			False											Seb				
ds007045	MGMT	Int64	O6-methylguanine-DNA methyltransferase (MGMT) promoter methylation status	2	0	1, 0		True	0	1		nb:Assessment	other assessment	n/a	not found	medium	incorrect	not an assessment	Seb				
ds007045	participant_id	string	Unique Participant's ID	337	0			False			nb:ParticipantID								Seb				
ds007045	scanner_model	string	MRI scanner model	21	0			False											Seb				
ds007045	sex	Int64	Sex of the participant as reported by the participant	2	0	1, 0		True	0	1	nb:Sex								Seb				
